Organisation Name,Address 1,Address 2,Address 3,Address 4,City,County,Post Code,Country,Website,Constitution,Sector,Type
Museum of Submarine Telegraphy,Eastern House,,,,Porthcurno,Cornwall,TR19 6JX,England,http://www.porthcurno.org.uk/,Charity & Trusts,Museum,Independent
Rye Art Gallery,Easton Rooms,107 High Street,,,Rye,Kent,TN31 7JE,England,www.ryeartgallery.co.uk,Charity & Trusts,Museum,Independent
Combe Martin Museum,Eberleigh House,Cross Street,,,Combe Martin,Devon,EX34 0DH,England,,Charity & Trusts,Museum,Independent
Bexhill Museum,Egerton Road,,,,Bexhill-on-Sea,East Sussex,TN39 3HL,England,,Charity & Trusts,Museum,Independent
"University of Durham, Oriental Museum",Elvet Hill,,,,Durham,Durham,DH1 3TH,England,www.dur.ac.uk,University,Museum,Independent
Stained Glass Museum Trust,Ely Cathedral,,,,Ely,Cambridgeshire,CB7 4DL,England,,Charity & Trusts,Museum,Independent
Farmland Museum & Denny Abbey,Ely Road,,,,Waterbeach,Cambridgeshire,CB5 9PQ,England,http://www.dennyfarmlandmuseum.org.uk/,Charity & Trusts,Museum,Independent
Englesea Brook Chapel and Museum of Primitive Methodism,Englesea Brook Methodist Chapel,Englesea Brook,Weston,,Crewe,,CW2 5QW,England,,Charity & Trusts,Museum,Independent
Cole Museum of Zoology,Environmental Biology Section,School of Biological Sciences - Room 202 Lyle Tower,"University of Reading, Whiteknights",PO Box 68,Reading,Berkshire,RG6 6BX,England,http://www.colemuseum.rdg.ac.uk/,University,Museum,Independent
Erith Museum,Erith Library,Walnut Tree Road,Bexley,,London,,DA8 1RS,England,,Charity & Trusts,Museum,Independent
Leominster Folk Museum,Etnam Street,,,,Leominster,Herefordshire,HR6 8AL,England,www.leominster.co.uk/leominster-museum.htm,Charity & Trusts,Museum,Independent
York Art Gallery,Exhibition Square,,,,York,Yorkshire,YO1 7EW,England,www.yorkartgallery.org.uk,Charity & Trusts,Museum,Independent
Fairfax House Museum,Fairfax House,Castlegate,,,York,Yorkshire,YO1 9RN,England,http://www.fairfaxhouse.co.uk/,Charity & Trusts,Museum,Independent
"Museum of Design in Plastics, Arts Institute, Bournemouth",Fernbarrow,Wallisdown,,,Poole,Dorset,BH12 5HH,England,www.arts-inst-bournemouth.ac.uk,University,Museum,Independent
